File Name,Rule Title,Rule ID,Rule Description,Chinese Title,Chinese Description,Level,References,Tags,Logsource,Fields,FalsePositive,Error Translation,Detection,SPL Query
lnx_auditd_masquerading_crond.yml,Masquerading as Linux Crond Process,9d4548fa-bba0-4e88-bd66-5d5bf516cda0,"Masquerading occurs when the name or location of an executable, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation.
Several different variations of this technique have been observed.
",伪装为Linux Crond过程,"为了逃避防御和观察，被操纵或虐待的可执行文件的名称或位置时，就会伪装。
已经观察到了该技术的几种不同变化。",medium,https://github.com/redcanaryco/atomic-red-team/blob/8a82e9b66a5b4f4bc5b91089e9f24e0544f20ad7/atomics/T1036.003/T1036.003.md#atomic-test-2---masquerading-as-linux-crond-process,"attack.defense_evasion, attack.t1036.003","product: linux, service: auditd",,[],,"{'selection': {'type': 'execve', 'a0': 'cp', 'a1': '/bin/sh', 'a2|endswith': '/crond'}, 'condition': 'selection'}","type=""execve"" a0=""cp"" a1=""/bin/sh"" a2=""*/crond"""
lnx_auditd_hidden_binary_execution.yml,Use Of Hidden Paths Or Files,9e1bef8d-0fff-46f6-8465-9aa54e128c1e,Detects calls to hidden files or files located in hidden directories in NIX systems.,使用隐藏路径或文件,检测NIX系统中隐藏目录中的隐藏文件或文件的调用。,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1564.001/T1564.001.md,"attack.defense_evasion, attack.t1574.001","product: linux, service: auditd",,['Unknown'],,"{'selection': {'type': 'PATH', 'name|contains': '/.'}, 'filter': {'name|contains': ['/.cache/', '/.config/', '/.pyenv/', '/.rustup/toolchains']}, 'condition': 'selection and not filter'}","type=""PATH"" name=""*/.*"" NOT (name IN (""*/.cache/*"", ""*/.config/*"", ""*/.pyenv/*"", ""*/.rustup/toolchains*""))"
lnx_auditd_clipboard_collection.yml,Clipboard Collection with Xclip Tool - Auditd,214e7e6c-f21b-47ff-bb6f-551b2d143fcf,"Detects attempts to collect data stored in the clipboard from users with the usage of xclip tool.
Xclip has to be installed.
Highly recommended using rule on servers, due to high usage of clipboard utilities on user workstations.
",带有XCLIP工具的剪贴板收集 - 审计,"检测尝试使用XCLIP工具的用法从用户那里收集存储在剪贴板中的数据。
必须安装XCLIP。
由于用户工作站上剪贴板公用事业的大量使用，强烈建议使用服务器上的规则。",low,"https://linux.die.net/man/1/xclip, https://www.cyberciti.biz/faq/xclip-linux-insert-files-command-output-intoclipboard/","attack.collection, attack.t1115","product: linux, service: auditd",,['Legitimate usage of xclip tools'],,"{'selection': {'type': 'EXECVE', 'a0': 'xclip', 'a1': ['-selection', '-sel'], 'a2': ['clipboard', 'clip'], 'a3': '-o'}, 'condition': 'selection'}","type=""EXECVE"" a0=""xclip"" a1 IN (""-selection"", ""-sel"") a2 IN (""clipboard"", ""clip"") a3=""-o"""
lnx_auditd_dd_delete_file.yml,Overwriting the File with Dev Zero or Null,37222991-11e9-4b6d-8bdf-60fbe48f753e,Detects overwriting (effectively wiping/deleting) of a file.,用Dev Zero或NULL覆盖文件,检测文件的覆盖（有效擦除/删除）。,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1485/T1485.md,"attack.impact, attack.t1485","product: linux, service: auditd",,"['Appending null bytes to files.', 'Legitimate overwrite of files.']",,"{'selection': {'type': 'EXECVE', 'a0|contains': 'dd', 'a1|contains': ['if=/dev/null', 'if=/dev/zero']}, 'condition': 'selection'}","type=""EXECVE"" a0=""*dd*"" a1 IN (""*if=/dev/null*"", ""*if=/dev/zero*"")"
lnx_auditd_chattr_immutable_removal.yml,Remove Immutable File Attribute - Auditd,a5b977d6-8a81-4475-91b9-49dbfcd941f7,Detects removing immutable file attribute.,删除不变的文件属性 - 审核,检测删除不变的文件属性。,medium,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1222.002/T1222.002.md,"attack.defense_evasion, attack.t1222.002","product: linux, service: auditd",,['Administrator interacting with immutable files (e.g. for instance backups).'],,"{'selection': {'type': 'EXECVE', 'a0|contains': 'chattr', 'a1|contains': '-i'}, 'condition': 'selection'}","type=""EXECVE"" a0=""*chattr*"" a1=""*-i*"""
lnx_auditd_bpfdoor_port_redirect.yml,Bpfdoor TCP Ports Redirect,70b4156e-50fc-4523-aa50-c9dddf1993fc,"All TCP traffic on particular port from attacker is routed to different port. ex. '/sbin/iptables -t nat -D PREROUTING -p tcp -s 192.168.1.1 --dport 22 -j REDIRECT --to-ports 42392'
The traffic looks like encrypted SSH communications going to TCP port 22, but in reality is being directed to the shell port once it hits the iptables rule for the attacker host only.
",BPFDoor TCP端口重定向,"攻击者特定端口上的所有TCP流量都将路由到其他端口。前任。'/sbin/iptables -t nat -d prerouting -p tcp -s 192.168.1.1--dport 22 -J redirect -to -ports -ports 42392'
流量看起来像是通往TCP端口22的加密SSH通信，但实际上，一旦仅针对攻击者主机击中了iptables规则，实际上就被指向壳端口。",medium,"https://www.sandflysecurity.com/blog/bpfdoor-an-evasive-linux-backdoor-technical-analysis/, https://www.elastic.co/security-labs/a-peek-behind-the-bpfdoor","attack.defense_evasion, attack.t1562.004","product: linux, service: auditd",,['Legitimate ports redirect'],,"{'cmd': {'type': 'EXECVE', 'a0|endswith': 'iptables', 'a1': '-t', 'a2': 'nat'}, 'keywords': ['--to-ports 42', '--to-ports 43'], 'condition': 'cmd and keywords'}","type=""EXECVE"" a0=""*iptables"" a1=""-t"" a2=""nat"" ""--to-ports 42"" OR ""--to-ports 43"""
lnx_auditd_file_or_folder_permissions.yml,File or Folder Permissions Change,74c01ace-0152-4094-8ae2-6fd776dd43e5,Detects file and folder permission changes.,文件或文件夹权限更改,检测文件和文件夹权限更改。,low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1222.002/T1222.002.md,"attack.defense_evasion, attack.t1222.002","product: linux, service: auditd",,['User interacting with files permissions (normal/daily behaviour).'],,"{'selection': {'type': 'EXECVE', 'a0|contains': ['chmod', 'chown']}, 'condition': 'selection'}","type=""EXECVE"" a0 IN (""*chmod*"", ""*chown*"")"
lnx_auditd_system_info_discovery.yml,System Information Discovery - Auditd,f34047d9-20d3-4e8b-8672-0a35cc50dc71,Detects System Information Discovery commands,系统信息发现 - 审核,检测系统信息发现命令,low,https://github.com/redcanaryco/atomic-red-team/blob/f296668303c29d3f4c07e42bdd2b28d8dd6625f9/atomics/T1082/T1082.md,"attack.discovery, attack.t1082","product: linux, service: auditd",,['Likely'],,"{'selection_1': {'type': 'PATH', 'name': ['/etc/lsb-release', '/etc/redhat-release', '/etc/issue']}, 'selection_2': {'type': 'EXECVE', 'a0': ['uname', 'uptime', 'lsmod', 'hostname', 'env']}, 'selection_3': {'type': 'EXECVE', 'a0': 'grep', 'a1|contains': ['vbox', 'vm', 'xen', 'virtio', 'hv']}, 'selection_4': {'type': 'EXECVE', 'a0': 'kmod', 'a1': 'list'}, 'condition': '1 of selection_*'}","(type=""PATH"" name IN (""/etc/lsb-release"", ""/etc/redhat-release"", ""/etc/issue"")) OR (type=""EXECVE"" a0 IN (""uname"", ""uptime"", ""lsmod"", ""hostname"", ""env"")) OR (type=""EXECVE"" a0=""grep"" a1 IN (""*vbox*"", ""*vm*"", ""*xen*"", ""*virtio*"", ""*hv*"")) OR (type=""EXECVE"" a0=""kmod"" a1=""list"")"
lnx_auditd_steghide_embed_steganography.yml,Steganography Hide Files with Steghide,ce446a9e-30b9-4483-8e38-d2c9ad0a2280,"Detects embedding of files with usage of steghide binary, the adversaries may use this technique to prevent the detection of hidden information.",使用Steghide隐藏文件,检测使用Steghide二进制文件的文件嵌入，对手可以使用此技术来防止检测隐藏信息。,low,https://vitux.com/how-to-hide-confidential-files-in-images-on-debian-using-steganography/,"attack.defense_evasion, attack.t1027.003","product: linux, service: auditd",,['Unknown'],,"{'selection': {'type': 'EXECVE', 'a0': 'steghide', 'a1': 'embed', 'a2': ['-cf', '-ef'], 'a4': ['-cf', '-ef']}, 'condition': 'selection'}","type=""EXECVE"" a0=""steghide"" a1=""embed"" a2 IN (""-cf"", ""-ef"") a4 IN (""-cf"", ""-ef"")"
lnx_auditd_change_file_time_attr.yml,File Time Attribute Change - Linux,b3cec4e7-6901-4b0d-a02d-8ab2d8eb818b,Detect file time attribute change to hide new or changes to existing files.,文件时间属性更改-Linux,检测文件时间属性更改以隐藏新或更改现有文件。,medium,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1070.006/T1070.006.md,"attack.defense_evasion, attack.t1070.006","product: linux, service: auditd",,['Unknown'],,"{'execve': {'type': 'EXECVE'}, 'touch': ['touch'], 'selection2': ['-t', '-acmr', '-d', '-r'], 'condition': 'execve and touch and selection2'}","type=""EXECVE"" ""touch"" ""-t"" OR ""-acmr"" OR ""-d"" OR ""-r"""
