File Name,Rule Title,Rule ID,Rule Description,Chinese Title,Chinese Description,Level,References,Tags,Logsource,Fields,FalsePositive,Error Translation,Detection,SPL Query
proc_creation_lnx_triple_cross_rootkit_execve_hijack.yml,Triple Cross eBPF Rootkit Execve Hijack,0326c3c8-7803-4a0f-8c5c-368f747f7c3e,"Detects execution of a the file ""execve_hijack"" which is used by the Triple Cross rootkit as a way to elevate privileges",三重交叉EBPF rootkit执行劫持,检测执行文件“ execve_hijack”的执行,high,https://github.com/h3xduck/TripleCross/blob/1f1c3e0958af8ad9f6ebe10ab442e75de33e91de/src/helpers/execve_hijack.c#L275,"attack.defense_evasion, attack.privilege_escalation","product: linux, service: None",,['Unlikely'],,"{'selection': {'Image|endswith': '/sudo', 'CommandLine|contains': 'execve_hijack'}, 'condition': 'selection'}","Image=""*/sudo"" CommandLine=""*execve_hijack*"""
proc_creation_lnx_esxcli_storage_discovery.yml,ESXi Storage Information Discovery Via ESXCLI,f41dada5-3f56-4232-8503-3fb7f9cf2d60,"Detects execution of the ""esxcli"" command with the ""storage"" flag in order to retrieve information about the storage status and other related information. Seen used by malware such as DarkSide and LockBit.",ESXI存储信息通过ESXCLI发现,检测具有“存储”标志的“ ESXCLI”命令的执行，以检索有关存储状态和其他相关信息的信息。通过恶意软件（例如Darkside和Lockbit）使用。,medium,"https://www.trendmicro.com/en_us/research/21/e/darkside-linux-vms-targeted.html, https://www.trendmicro.com/en_us/research/22/a/analysis-and-Impact-of-lockbit-ransomwares-first-linux-and-vmware-esxi-variant.html, https://developer.vmware.com/docs/11743/esxi-7-0-esxcli-command-reference/namespace/esxcli_storage.html","attack.discovery, attack.t1033, attack.t1007","product: linux, service: None",,['Legitimate administration activities'],,"{'selection_img': {'Image|endswith': '/esxcli', 'CommandLine|contains': 'storage'}, 'selection_cli': {'CommandLine|contains': [' get', ' list']}, 'condition': 'all of selection_*'}","Image=""*/esxcli"" CommandLine=""*storage*"" CommandLine IN (""* get*"", ""* list*"")"
proc_creation_lnx_bpftrace_unsafe_option_usage.yml,BPFtrace Unsafe Option Usage,f8341cb2-ee25-43fa-a975-d8a5a9714b39,Detects the usage of the unsafe bpftrace option,bpftrace不安全的选项,检测不安全BPFTRACE选项的使用情况,medium,"https://embracethered.com/blog/posts/2021/offensive-bpf-bpftrace/, https://bpftrace.org/","attack.execution, attack.t1059.004","product: linux, service: None",,['Legitimate usage of the unsafe option'],,"{'selection': {'Image|endswith': 'bpftrace', 'CommandLine|contains': '--unsafe'}, 'condition': 'selection'}","Image=""*bpftrace"" CommandLine=""*--unsafe*"""
proc_creation_lnx_ssm_agent_abuse.yml,Potential Linux Amazon SSM Agent Hijacking,f9b3edc5-3322-4fc7-8aa3-245d646cc4b7,Detects potential Amazon SSM agent hijack attempts as outlined in the Mitiga research report.,潜在的Linux Amazon SSM代理商劫持,如Mitiga研究报告中概述的那样，检测了潜在的亚马逊SSM代理商劫持尝试。,medium,"https://www.mitiga.io/blog/mitiga-security-advisory-abusing-the-ssm-agent-as-a-remote-access-trojan, https://www.bleepingcomputer.com/news/security/amazons-aws-ssm-agent-can-be-used-as-post-exploitation-rat-malware/, https://www.helpnetsecurity.com/2023/08/02/aws-instances-attackers-access/","attack.command_and_control, attack.persistence, attack.t1219","product: linux, service: None",,['Legitimate activity of system administrators'],,"{'selection': {'Image|endswith': '/amazon-ssm-agent', 'CommandLine|contains|all': ['-register ', '-code ', '-id ', '-region ']}, 'condition': 'selection'}","Image=""*/amazon-ssm-agent"" CommandLine=""*-register *"" CommandLine=""*-code *"" CommandLine=""*-id *"" CommandLine=""*-region *"""
proc_creation_lnx_mkfifo_named_pipe_creation.yml,Named Pipe Created Via Mkfifo,9d779ce8-5256-4b13-8b6f-b91c602b43f4,"Detects the creation of a new named pipe using the ""mkfifo"" utility",通过MKFIFO创建的命名管道,检测使用“ MKFIFO”实用程序的新名称管道的创建,low,"https://dev.to/0xbf/use-mkfifo-to-create-named-pipe-linux-tips-5bbk, https://www.mandiant.com/resources/blog/barracuda-esg-exploited-globally",attack.execution,"product: linux, service: None",,['Unknown'],,"{'selection': {'Image|endswith': '/mkfifo'}, 'condition': 'selection'}","Image=""*/mkfifo"""
proc_creation_lnx_curl_usage.yml,Curl Usage on Linux,ea34fb97-e2c4-4afb-810f-785e4459b194,"Detects a curl process start on linux, which indicates a file download from a remote location or a simple web request to a remote server",Linux上的卷曲用法,检测Linux上的卷曲过程，该过程指示文件从远程位置下载或简单的Web请求到远程服务器,low,https://www.trendmicro.com/en_us/research/22/i/how-malicious-actors-abuse-native-linux-tools-in-their-attacks.html,"attack.command_and_control, attack.t1105","product: linux, service: None",,"['Scripts created by developers and admins', 'Administrative activity']",,"{'selection': {'Image|endswith': '/curl'}, 'condition': 'selection'}","Image=""*/curl"""
proc_creation_lnx_perl_reverse_shell.yml,Potential Perl Reverse Shell Execution,259df6bc-003f-4306-9f54-4ff1a08fa38e,"Detects execution of the perl binary with the ""-e"" flag and common strings related to potential reverse shell activity",潜在的perl反向外壳执行,检测使用“ -e”标志的Perl二进制执行和与潜在反向外壳活动相关的常见字符串,high,"https://pentestmonkey.net/cheat-sheet/shells/reverse-shell-cheat-sheet, https://www.revshells.com/",attack.execution,"product: linux, service: None",,['Unlikely'],,"{'selection_img': {'Image|endswith': '/perl', 'CommandLine|contains': ' -e '}, 'selection_content': [{'CommandLine|contains|all': ['fdopen(', '::Socket::INET']}, {'CommandLine|contains|all': ['Socket', 'connect', 'open', 'exec']}], 'condition': 'all of selection_*'}","Image=""*/perl"" CommandLine=""* -e *"" (CommandLine=""*fdopen(*"" CommandLine=""*::Socket::INET*"") OR (CommandLine=""*Socket*"" CommandLine=""*connect*"" CommandLine=""*open*"" CommandLine=""*exec*"")"
proc_creation_lnx_at_command.yml,Scheduled Task/Job At,d2d642d7-b393-43fe-bae4-e81ed5915c4b,"Detects the use of at/atd which are utilities that are used to schedule tasks.
They are often abused by adversaries to maintain persistence or to perform task scheduling for initial or recurring execution of malicious code
",预定的任务/工作,"检测AT/ATD的使用，这些用户是用于安排任务的实用程序。
他们经常被对手虐待以保持持久性或执行任务计划以初次或重复执行恶意代码",low,https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1053.002/T1053.002.md,"attack.persistence, attack.t1053.002","product: linux, service: None",,['Legitimate administration activities'],,"{'selection': {'Image|endswith': ['/at', '/atd']}, 'condition': 'selection'}","Image IN (""*/at"", ""*/atd"")"
proc_creation_lnx_malware_gobrat_grep_payload_discovery.yml,Potential GobRAT File Discovery Via Grep,e34cfa0c-0a50-4210-9cb3-5632d08eb041,Detects the use of grep to discover specific files created by the GobRAT malware,通过GREP发现潜在的gobrat文件发现,检测使用GREP来发现gobrat恶意软件创建的特定文件,high,"https://blogs.jpcert.or.jp/en/2023/05/gobrat.html, https://www.virustotal.com/gui/file/60bcd645450e4c846238cf0e7226dc40c84c96eba99f6b2cffcd0ab4a391c8b3/detection, https://www.virustotal.com/gui/file/3e44c807a25a56f4068b5b8186eee5002eed6f26d665a8b791c472ad154585d1/detection","attack.discovery, attack.t1082","product: linux, service: None",,['Unknown'],,"{'selection': {'Image|endswith': '/grep', 'CommandLine|contains': ['apached', 'frpc', 'sshd.sh', 'zone.arm']}, 'condition': 'selection'}","Image=""*/grep"" CommandLine IN (""*apached*"", ""*frpc*"", ""*sshd.sh*"", ""*zone.arm*"")"
proc_creation_lnx_susp_java_children.yml,Suspicious Java Children Processes,d292e0af-9a18-420c-9525-ec0ac3936892,Detects java process spawning suspicious children,可疑的爪哇儿童处理,检测Java过程产卵可疑孩子,high,https://www.tecmint.com/different-types-of-linux-shells/,"attack.execution, attack.t1059","product: linux, service: None",,['Unknown'],,"{'selection': {'ParentImage|endswith': '/java', 'CommandLine|contains': ['/bin/sh', 'bash', 'dash', 'ksh', 'zsh', 'csh', 'fish', 'curl', 'wget', 'python']}, 'condition': 'selection'}","ParentImage=""*/java"" CommandLine IN (""*/bin/sh*"", ""*bash*"", ""*dash*"", ""*ksh*"", ""*zsh*"", ""*csh*"", ""*fish*"", ""*curl*"", ""*wget*"", ""*python*"")"
